ppms,values
-2.945256836679121,101.48046875
-2.944767783370346,356.52734375
-2.944278730061571,-20.61328125
-2.943789676752796,-273.03515625
-2.9433006234440207,66.1015625
-2.9428115701352455,-232.6953125
-2.9423225168264704,-25.296875
-2.9418334635176953,469.05078125
-2.94134441020892,441.90625
-2.940855356900145,183.16796875
-2.94036630359137,-45.23828125
-2.9398772502825947,88.50390625
-2.9393881969738196,-202.31640625
-2.9388991436650445,96.0078125
-2.9384100903562693,49.61328125
-2.937921037047494,-59.8515625
-2.937431983738719,88.609375
-2.936942930429944,299.21484375
-2.936453877121169,-174.984375
-2.9359648238123937,151.84375
-2.9354757705036185,-788.984375
-2.9349867171948434,-143.5859375
-2.9344976638860683,-514.6328125
-2.934008610577293,-282.16015625
-2.933519557268518,-185.52734375
-2.933030503959743,163.1015625
-2.9325414506509677,22.671875
-2.9320523973421926,217.8671875
-2.9315633440334175,-713.3359375
-2.9310742907246423,-173.10546875
-2.930585237415867,36.39453125
-2.930096184107092,-584.70703125
-2.929607130798317,-300.62890625
-2.929118077489542,-42.3984375
-2.9286290241807666,-536.24609375
-2.9281399708719915,156.32421875
-2.9276509175632164,-435.8046875
-2.9271618642544412,456.24609375
-2.926672810945666,443.12890625
-2.926183757636891,181.609375
-2.925694704328116,51.62890625
-2.9252056510193407,-90.6875
-2.9247165977105656,-234.44140625
-2.9242275444017904,13.6796875
-2.9237384910930153,-394.09375
-2.92324943778424,597.3828125
-2.922760384475465,417.7421875
-2.92227133116669,82.1328125
-2.921782277857915,-31.9140625
-2.9212932245491396,209.875
-2.9208041712403645,257.4453125
-2.9203151179315894,293.0390625
-2.9198260646228142,-292.78515625
-2.919337011314039,-491.12890625
-2.918847958005264,124.26953125
-2.918358904696489,-504.3984375
-2.9178698513877137,256.29296875
-2.9173807980789386,347.7421875
-2.9168917447701634,246.6484375
-2.9164026914613883,34.578125
-2.915913638152613,-26.6875
-2.915424584843838,-344.86328125
-2.914935531535063,-367.44140625
-2.9144464782262878,-109.078125
-2.9139574249175126,-34.4296875
-2.9134683716087375,-115.0625
-2.9129793182999624,-83.62890625
-2.9124902649911872,-209.23828125
-2.912001211682412,-310.6640625
-2.911512158373637,-135.0234375
-2.911023105064862,-321.28125
-2.9105340517560867,-40.14453125
-2.9100449984473116,-107.85546875
-2.9095559451385364,-209.16015625
-2.9090668918297613,368.1953125
-2.908577838520986,-35.8203125
-2.908088785212211,-247.53515625
